codigo,modalidade,grau,curso,uf,municipio,enade,cpc,cc,code_ies,nome_da_ies,mantenedora
1457002,Presencial,Bacharelado,Ciência da computação,SP,São João da Boa Vista,-,-,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1260317,Presencial,Licenciatura,Ciências biológicas,SP,Avaré,4,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1168211,Presencial,Licenciatura,Ciências biológicas,SP,Barretos,4,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1103451,Presencial,Licenciatura,Ciências biológicas,SP,São Paulo,5,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1116852,Presencial,Licenciatura,Ciências biológicas,SP,São Roque,4,4,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1377536,Presencial,Licenciatura,Ciências naturais: habilitação em física,SP,São João da Boa Vista,2,3,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1377538,Presencial,Licenciatura,Ciências naturais: habilitação em química,SP,São João da Boa Vista,3,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
71675,Presencial,Tecnológico,Construção de edifícios,SP,São Paulo,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1421313,Presencial,Tecnológico,Design de interiores,SP,Jacareí,-,-,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
121942,Presencial,Tecnológico,Eletrônica industrial,SP,Bragança Paulista,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
